1	25	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	167.4	42'23.997
2	20	5	Johann ZARCO	FRA	Pramac Racing	Ducati	167.3	+1.457
3	16	89	Jorge MARTIN	SPA	Pramac Racing	Ducati	167.3	+1.500
4	13	42	Alex RINS	SPA	Team SUZUKI ECSTAR	Suzuki	167.3	+2.088
5	11	12	Maverick VIÃ‘ALES	SPA	Monster Energy Yamaha MotoGP	Yamaha	167.3	+2.110
6	10	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	167.3	+2.642
7	9	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	167.1	+4.868
8	8	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	167.1	+4.979
9	7	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	167.1	+5.365
10	6	41	Aleix ESPARGARO	SPA	Aprilia Racing Team Gresini	Aprilia	167.1	+5.382
11	5	23	Enea BASTIANINI	ITA	Avintia Esponsorama	Ducati	167.1	+5.550
12	4	21	Franco MORBIDELLI	ITA	Petronas Yamaha SRT	Yamaha	167.1	+5.787
13	3	44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	167.0	+6.063
14	2	6	Stefan BRADL	GER	Repsol Honda Team	Honda	167.0	+6.453
15	1	88	Miguel OLIVEIRA	POR	Red Bull KTM Factory Racing	KTM	166.9	+8.928
16		46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	166.5	+14.246
17		30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	166.4	+16.241
18		10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	166.4	+16.472
19		9	Danilo PETRUCCI	ITA	Tech 3 KTM Factory Racing	KTM	166.3	+16.779
20		32	Lorenzo SAVADORI	ITA	Aprilia Racing Team Gresini	Aprilia	164.9	+38.775