1	25	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	161.4	41'05.602
2	20	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	161.3	+1.912
3	16	21	Franco MORBIDELLI	ITA	Petronas Yamaha SRT	Yamaha	161.2	+2.516
4	13	30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	161.2	+3.206
5	11	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	161.1	+4.256
6	10	41	Aleix ESPARGARO	SPA	Aprilia Racing Team Gresini	Aprilia	161.1	+5.164
7	9	12	Maverick VIÃ‘ALES	SPA	Monster Energy Yamaha MotoGP	Yamaha	161.0	+5.651
8	8	5	Johann ZARCO	FRA	Pramac Racing	Ducati	160.9	+7.161
9	7	93	Marc MARQUEZ	SPA	Repsol Honda Team	Honda	160.7	+10.494
10	6	44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	160.6	+11.776
11	5	88	Miguel OLIVEIRA	POR	Red Bull KTM Factory Racing	KTM	160.4	+14.766
12	4	6	Stefan BRADL	GER	Honda HRC	Honda	160.3	+17.243
13	3	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	160.2	+18.907
14	2	9	Danilo PETRUCCI	ITA	Tech 3 KTM Factory Racing	KTM	160.1	+20.095
15	1	10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	160.0	+20.922
16		46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	159.9	+22.731
17		27	Iker LECUONA	SPA	Tech 3 KTM Factory Racing	KTM	160.1	+23.277
18		53	Tito RABAT	SPA	Pramac Racing	Ducati	159.4	+30.314
19		32	Lorenzo SAVADORI	ITA	Aprilia Racing Team Gresini	Aprilia	159.0	+37.912
20		42	Alex RINS	SPA	Team SUZUKI ECSTAR	Suzuki	158.9	+38.234