1	25	88	Miguel OLIVEIRA	POR	Red Bull KTM Factory Racing	KTM	166.1	40'21.749
2	20	5	Johann ZARCO	FRA	Pramac Racing	Ducati	166.1	+0.175
3	16	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	166.0	+1.990
4	13	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	165.7	+5.325
5	11	12	Maverick VIÃ‘ALES	SPA	Monster Energy Yamaha MotoGP	Yamaha	165.7	+6.281
6	10	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	166.0	+7.815
7	9	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	165.5	+8.175
8	8	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	165.5	+8.378
9	7	21	Franco MORBIDELLI	ITA	Petronas Yamaha SRT	Yamaha	165.0	+15.652
10	6	23	Enea BASTIANINI	ITA	Avintia Esponsorama	Ducati	164.8	+19.297
11	5	73	Alex MARQUEZ	SPA	LCR Honda CASTROL	Honda	164.6	+21.650
12	4	10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	164.6	+22.533
13	3	30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	164.2	+27.833
14	2	89	Jorge MARTIN	SPA	Pramac Racing	Ducati	164.1	+29.075
15	1	32	Lorenzo SAVADORI	ITA	Aprilia Racing Team Gresini	Aprilia	163.4	+40.291