1	25	89	Jorge MARTIN	SPA	Pramac Racing	Ducati	183.4	38'07.879
2	20	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	183.3	+1.548
3	16	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	182.6	+9.632
4	13	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	182.4	+12.771
5	11	30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	182.4	+12.923
6	10	5	Johann ZARCO	FRA	Pramac Racing	Ducati	182.4	+13.031
7	9	42	Alex RINS	SPA	Team SUZUKI ECSTAR	Suzuki	182.2	+14.839
8	8	93	Marc MARQUEZ	SPA	Repsol Honda Team	Honda	182.0	+17.953
9	7	73	Alex MARQUEZ	SPA	LCR Honda CASTROL	Honda	181.9	+19.059
10	6	26	Dani PEDROSA	SPA	Red Bull KTM Factory Racing	KTM	181.9	+19.389
11	5	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	181.9	+21.667
12	4	23	Enea BASTIANINI	ITA	Avintia Esponsorama	Ducati	181.4	+25.267
13	3	46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	181.3	+26.282
14	2	10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	181.2	+27.492
15	1	27	Iker LECUONA	SPA	Tech 3 KTM Factory Racing	KTM	180.9	+31.076
16		44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	180.9	+31.150
17		35	Cal CRUTCHLOW	GBR	Petronas Yamaha SRT	Yamaha	180.2	+40.408
18		9	Danilo PETRUCCI	ITA	Tech 3 KTM Factory Racing	KTM	179.6	+48.114