1	25	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	178.0	40'43.928
2	20	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	177.1	+12.991
3	16	89	Jorge MARTIN	SPA	Pramac Racing	Ducati	177.0	+14.570
4	13	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	176.9	+15.623
5	11	10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	176.8	+17.831
6	10	27	Iker LECUONA	SPA	Tech 3 KTM Factory Racing	KTM	176.7	+17.952
7	9	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	176.6	+19.650
8	8	46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	176.6	+20.150
9	7	73	Alex MARQUEZ	SPA	LCR Honda CASTROL	Honda	176.6	+20.692
10	6	41	Aleix ESPARGARO	SPA	Aprilia Racing Team Gresini	Aprilia	176.5	+21.270
11	5	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	176.0	+28.144
12	4	9	Danilo PETRUCCI	ITA	Tech 3 KTM Factory Racing	KTM	176.0	+28.193
13	3	30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	176.0	+28.603
14	2	42	Alex RINS	SPA	Team SUZUKI ECSTAR	Suzuki	175.6	+33.642
15	1	93	Marc MARQUEZ	SPA	Repsol Honda Team	Honda	175.3	+38.459
16		44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	174.9	+43.384
17		35	Cal CRUTCHLOW	GBR	Petronas Yamaha SRT	Yamaha	174.1	+55.950