1	25	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	163.7	41'48.305
2	20	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	163.7	+0.364
3	16	23	Enea BASTIANINI	ITA	Avintia Esponsorama	Ducati	163.4	+4.789
4	13	93	Marc MARQUEZ	SPA	Repsol Honda Team	Honda	163.0	+10.245
5	11	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	163.0	+10.469
6	10	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	163.0	+10.325
7	9	44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	162.9	+13.234
8	8	41	Aleix ESPARGARO	SPA	Aprilia Racing Team Gresini	Aprilia	162.7	+15.698
9	7	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	162.7	+16.129
10	6	30	Takaaki NAKAGAMI	JPN	LCR Honda IDEMITSU	Honda	162.5	+18.519
11	5	51	Michele PIRRO	ITA	Ducati Lenovo Team	Ducati	162.4	+20.373
12	4	5	Johann ZARCO	FRA	Pramac Racing	Ducati	162.3	+21.066
13	3	12	Maverick VIÃ‘ALES	SPA	Aprilia Racing Team Gresini	Aprilia	162.3	+21.258
14	2	6	Stefan BRADL	GER	Team Honda HRC	Honda	161.9	+28.142
15	1	73	Alex MARQUEZ	SPA	LCR Honda CASTROL	Honda	161.7	+30.686
16		9	Danilo PETRUCCI	ITA	Tech 3 KTM Factory Racing	KTM	161.6	+32.654
17		46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	161.5	+33.853
18		21	Franco MORBIDELLI	ITA	Monster Energy Yamaha MotoGP	Yamaha	161.4	+36.272
19		10	Luca MARINI	ITA	SKY VR46 Avintia	Ducati	161.3	+36.839
20		88	Miguel OLIVEIRA	POR	Red Bull KTM Factory Racing	KTM	161.3	+37.202
21		4	Andrea DOVIZIOSO	ITA	Petronas Yamaha SRT	Yamaha	161.0	+42.587